system,year,doctype,source_url,source,wayback_ts,discovered_at,pub_year,year_source
ucsf,2013,annual_report,https://www.ucsf.edu/sites/default/files/2013-ucsf-annual-report.pdf,seed,,2026-05-16T17:16:47+00:00,2013,crawl_date
ucsf,2023,annual_report,https://www.ucsf.edu/sites/default/files/2023-ucsf-annual-report.pdf,seed,,2026-05-16T17:16:47+00:00,2023,crawl_date
ucdavis,2023,press_release,https://health.ucdavis.edu/medical-center/news/headlines/uc-davis-health-earns-prestigious-magnet-designation-for-third-time/2023/06,live,,2026-05-16T17:18:31+00:00,2023,url_slug
ucdavis,2025,press_release,https://health.ucdavis.edu/news/es/headlines/qu-hacer-para-tratar-y-prevenir-un-ataque-cerebral/2025/12,live,,2026-05-16T17:18:31+00:00,2025,url_slug
ucdavis,2025,press_release,https://health.ucdavis.edu/news/es/headlines/las-pruebas-genticas-salvan-vidas-pero-muchos-desconocen-riesgos-hereditarios-de-cncer/2025/12,live,,2026-05-16T17:18:31+00:00,2025,url_slug
ucdavis,2024,press_release,https://health.ucdavis.edu/news/headlines/uc-davis-health-recognized-as-an-lgbtq-healthcare-equity-leader/2024/05,live,,2026-05-16T17:18:31+00:00,2024,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431226/wearable-tech-can-help-heart-surgery-patients-stick-rehab,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431241/do-hormones-explain-why-women-experience-more-gut-pain,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431236/inspiring-story-worlds-first-all-female-heart-transplant,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431231/ucsf-announces-new-home-school-dentistry-mission-bay,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431181/ucsf-launches-second-neonatal-transport-reach-bay-and-beyond,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431166/thirdhand-smoke-hidden-danger-puts-kids-and-adults-risk,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431186/can-we-solve-mystery-behind-cleft-lip-and-palate-infants,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431206/indoor-tanning-makes-youthful-skin-much-older-genetic-level,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431176/ucsf-health-named-top-hospital-maternity-care,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431196/ucsf-health-earns-top-national-recognition-surgical-outcomes,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431211/ucsf-hospitals-awarded-top-honors-quality-and-safety,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431216/kids-behavioral-health-growing-share-family-health-costs,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431221/ucsf-study-finds-better-way-screen-breast-cancer,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/11/431061/new-healthy-hopeful-care-guidelines-pregnant-women-ibd,live,,2026-05-16T17:21:31+00:00,2025,url_slug
ucsf,2025,press_release,https://www.ucsf.edu/news/2025/12/431171/ucsf-health-urgent-care-centers-youve-got-options,live,,2026-05-16T17:21:31+00:00,2025,url_slug
