term,early_count,late_count,delta
access,69,112,43
need,24,65,41
say,52,88,36
community,31,66,35
provider,24,57,33
san,7,40,33
francisco,0,32,32
reflect,2,31,29
these,6,34,28
knowledge,1,28,27
worldwide,2,28,26
class,1,24,23
innovative,10,33,23
abortion,0,21,21
help,16,36,20
work,13,31,18
day,2,20,18
accessible,0,18,18
urgent,12,30,18
support,10,28,18
now,5,22,17
like,3,20,17
mental,0,17,17
those,4,21,17
same,1,17,16
newborn,1,17,16
space,0,16,16
worker,2,18,16
expand,7,23,16
donation,0,15,15
most,8,23,15
hiv,3,17,14
world,14,28,14
just,4,18,14
every,9,22,13
gap,2,15,13
population,1,14,13
experience,7,20,13
head,0,12,12
see,5,17,12
neck,0,12,12
gender,0,11,11
spinal,0,11,11
receive,26,37,11
build,3,14,11
news,41,51,10
possible,4,14,10
clinician,4,14,10
exceptional,7,17,10
multiple,1,11,10
endocrinology,0,10,10
neurology,0,10,10
maternity,0,10,10
together,2,12,10
where,7,17,10
rating,0,10,10
planning,0,10,10
include,40,49,9
connect,0,9,9
technician,0,9,9
releases,3,12,9
back,1,10,9
location,1,10,9
foster,6,15,9
grow,0,9,9
everyday,0,9,9
tri,2,11,9
safe,2,11,9
keep,0,9,9
right,2,11,9
during,4,13,9
complex,4,12,8
opportunity,1,9,8
performance,1,9,8
advance,20,28,8
pharmacy,4,12,8
regular,0,8,8
neurosurgery,0,8,8
suresh,0,8,8
capacity,0,8,8
barbara,0,8,8
2024,0,8,8
type,2,10,8
seven,0,8,8
future,9,17,8
often,3,11,8
people,25,33,8
california,19,27,8
state,9,17,8
project,1,9,8
perioperative,0,8,8
cause,0,8,8
photo,0,8,8
meet,2,10,8
urology,2,10,8
doctor,8,16,8
kid,1,9,8
maintain,0,7,7
expect,0,7,7
hawaii,0,7,7
trust,0,7,7
best,0,7,7
gunasekaran,0,7,7
prioritize,0,7,7
’re,0,7,7
become,3,10,7
linkedin,0,7,7
look,3,10,7
both,7,14,7
moyamoya,1,8,7
ries,0,7,7
able,2,9,7
bring,12,19,7
surgery,25,32,7
expert,5,12,7
neighborhood,0,7,7
screening,2,8,6
bayfront,0,6,6
nih,0,6,6
funding,0,6,6
create,6,12,6
career,2,8,6
lgbtq+,0,6,6
prenatal,2,8,6
much,2,8,6
affirm,0,6,6
behavioral,2,8,6
face,3,9,6
everyone,0,6,6
between,5,11,6
legacy,0,6,6
email,0,6,6
change,7,13,6
vizient,0,6,6
physical,1,7,6
2018,0,6,6
maternal,1,7,6
valley,12,18,6
operation,2,8,6
each,1,7,6
leave,0,6,6
image,2,8,6
author,1,7,6
oral,0,6,6
passion,0,5,5
specialized,5,10,5
base,20,25,5
efficient,0,5,5
nation,5,10,5
regard,2,7,5
local,2,7,5
drive,4,9,5
bridge,0,5,5
dental,1,6,5
participant,0,5,5
holistic,1,6,5
aids,2,7,5
start,0,5,5
medicaid,0,5,5
shape,0,5,5
unified,0,5,5
phd,1,6,5
franciscans,0,5,5
nutrition,0,5,5
poor,1,6,5
refer,1,6,5
there,5,10,5
therapy,3,8,5
durham,0,5,5
bias,0,5,5
charity,0,5,5
gerontology,0,5,5
registry,0,5,5
approximately,1,6,5
anesthesia,1,6,5
region,0,5,5
microaggression,0,5,5
reproductive,0,5,5
shumway,0,5,5
diverse,1,6,5
section,0,5,5
particularly,1,6,5
diagnosis,3,8,5
hawgood,0,5,5
foundation,3,8,5
medication,3,8,5
whether,0,5,5
decade,3,8,5
pain,4,8,4
lab,4,8,4
plastic,0,4,4
rely,0,4,4
vital,3,7,4
strong,1,5,4
idd,0,4,4
income,0,4,4
youth,0,4,4
investigator,0,4,4
leapfrog,0,4,4
background,1,5,4
women,4,8,4
finding,0,4,4
"1,815,882",0,4,4
twitter,2,6,4
product,2,6,4
hard,1,5,4
transgender,0,4,4
cochlear,0,4,4
regardless,1,5,4
francis,0,4,4
navajo,0,4,4
seamless,1,5,4
decision,5,9,4
strengthen,1,5,4
test,1,5,4
oakland,0,4,4
take,30,34,4
want,2,6,4
nasa,0,4,4
history,0,4,4
failure,1,5,4
madera,0,4,4
rare,1,5,4
reach,0,4,4
destination,0,4,4
would,3,7,4
continue,9,13,4
reschedule,0,4,4
expertise,2,6,4
datum,4,8,4
evidence,5,9,4
ultimately,0,4,4
equitable,2,6,4
additional,1,5,4
neurosciences,0,4,4
pulmonology,0,4,4
