term,early_count,late_count,delta
ucsf,0,10,10
care,7,17,10
leader,0,8,8
train,0,8,8
patient,4,11,7
midwife,0,6,6
scientist,0,5,5
generation,0,5,5
gerontology,0,5,5
primary,0,4,4
include,1,5,4
medical,0,4,4
therapist,2,6,4
research,0,4,4
many,1,5,4
hiv,0,4,4
staff,2,6,4
work,4,8,4
other,1,5,4
san,0,3,3
next,0,3,3
year,1,4,3
midwifery,1,4,3
trainee,0,3,3
those,0,3,3
practitioner,18,21,3
site,0,3,3
air,0,3,3
become,1,4,3
position,1,4,3
practice,1,4,3
award,0,3,3
advanced,0,3,3
like,0,3,3
social,2,4,2
mother,1,3,2
physical,1,3,2
team,2,4,2
specialty,2,4,2
university,1,3,2
clinical,2,4,2
worker,1,3,2
skill,1,3,2
physician,15,17,2
need,1,3,2
safety,1,3,2
technician,1,3,2
each,1,2,1
help,1,2,1
dietitian,1,2,1
high,1,2,1
make,2,3,1
time,1,2,1
where,1,2,1
hospital,5,6,1
graduate,1,2,1
provide,1,2,1
system,1,2,1
adult,4,5,1
respiratory,1,2,1
school,3,4,1
professional,2,2,0
register,3,3,0
say,2,2,0
training,3,3,0
public,2,1,-1
senior,2,1,-1
center,2,1,-1
researcher,2,1,-1
every,2,1,-1
community,2,1,-1
enter,2,1,-1
launch,4,2,-2
support,3,0,-3
level,5,2,-3
chapter,3,0,-3
leadership,3,0,-3
october,3,0,-3
mental,4,1,-3
sacramento,4,1,-3
psychiatric,4,1,-3
univ,3,0,-3
negotiation,3,0,-3
clinics,3,0,-3
specialist,5,1,-4
master,5,1,-4
institute,4,0,-4
manager,6,2,-4
nursing,7,3,-4
tie,4,0,-4
entry,5,0,-5
family,7,2,-5
irene,5,0,-5
betty,5,0,-5
davis,5,0,-5
stanford,6,1,-5
assistant,10,5,-5
2011,7,0,-7
program,16,9,-7
residency,9,1,-8
leaders,8,0,-8
emerging,8,0,-8
pediatric,10,1,-9
degree,14,1,-13
guestservices@stanfordmed.org,13,0,-13
guestservices@stanfordhealthcare.org,20,0,-20
doctor,35,4,-31
view,33,0,-33
allied,33,0,-33
professionals,33,0,-33
health,42,6,-36
