system,year,doctype,n_tokens,op_total,rel_total,op_rate_per_10k,rel_rate_per_10k,ratio_op_to_rel
duke,2011,press_release,704,0,3,0.0,42.61363636363637,0.0
duke,2011,press_release,984,0,3,0.0,30.48780487804878,0.0
duke,2011,press_release,724,1,7,13.812154696132596,96.68508287292818,0.14285714285714285
duke,2011,press_release,578,1,2,17.301038062283737,34.602076124567475,0.5
duke,2011,press_release,856,0,3,0.0,35.046728971962615,0.0
duke,2011,press_release,832,1,7,12.01923076923077,84.13461538461539,0.14285714285714288
duke,2011,press_release,647,0,2,0.0,30.91190108191654,0.0
duke,2011,press_release,449,0,6,0.0,133.630289532294,0.0
duke,2011,press_release,1001,0,2,0.0,19.98001998001998,0.0
duke,2011,press_release,745,0,11,0.0,147.6510067114094,0.0
duke,2011,press_release,829,0,3,0.0,36.18817852834741,0.0
duke,2011,press_release,944,1,2,10.59322033898305,21.1864406779661,0.5
duke,2011,press_release,644,1,3,15.527950310559007,46.58385093167702,0.3333333333333333
duke,2011,press_release,657,0,2,0.0,30.441400304414003,0.0
duke,2011,press_release,978,0,4,0.0,40.899795501022496,0.0
duke,2011,press_release,963,0,3,0.0,31.152647975077883,0.0
duke,2011,press_release,741,0,4,0.0,53.98110661268556,0.0
duke,2011,press_release,1013,0,2,0.0,19.743336623889437,0.0
duke,2011,press_release,804,0,3,0.0,37.3134328358209,0.0
duke,2011,press_release,834,1,3,11.990407673860911,35.97122302158273,0.33333333333333337
duke,2011,press_release,748,0,3,0.0,40.106951871657756,0.0
duke,2018,press_release,943,0,18,0.0,190.88016967126194,0.0
duke,2021,press_release,180,0,5,0.0,277.77777777777777,0.0
duke,2019,press_release,193,0,11,0.0,569.9481865284974,0.0
duke,2010,press_release,558,0,4,0.0,71.68458781362007,0.0
duke,2010,press_release,642,0,2,0.0,31.152647975077883,0.0
duke,2010,press_release,697,0,3,0.0,43.0416068866571,0.0
duke,2010,press_release,741,1,4,13.49527665317139,53.98110661268556,0.25
duke,2010,press_release,1209,0,3,0.0,24.81389578163772,0.0
duke,2010,press_release,542,0,9,0.0,166.05166051660515,0.0
duke,2010,press_release,841,0,4,0.0,47.56242568370987,0.0
duke,2010,press_release,833,0,5,0.0,60.024009603841534,0.0
duke,2010,press_release,624,0,2,0.0,32.05128205128205,0.0
duke,2010,press_release,940,0,6,0.0,63.829787234042556,0.0
duke,2010,press_release,940,0,3,0.0,31.914893617021278,0.0
duke,2010,press_release,811,0,2,0.0,24.66091245376079,0.0
duke,2010,press_release,909,1,2,11.001100110011,22.002200220022,0.5
duke,2010,press_release,693,0,5,0.0,72.15007215007215,0.0
duke,2010,press_release,955,0,6,0.0,62.82722513089005,0.0
duke,2010,press_release,1444,0,4,0.0,27.700831024930746,0.0
duke,2010,press_release,880,1,2,11.363636363636363,22.727272727272727,0.5
duke,2010,press_release,1059,0,3,0.0,28.328611898016998,0.0
duke,2010,press_release,804,0,2,0.0,24.875621890547265,0.0
