system,period,n_docs,n_tokens,op_rate,rel_rate,ratio_op_to_rel
duke,early (2010-2016),119,103930,6.44664678148754,49.55258346964303,0.13009708737864079
duke,late (2017-2025),6,4104,0.0,87.71929824561404,0.0
michigan,early (2010-2016),18,33284,4.206225213315707,89.23206345391179,0.04713804713804714
michigan,late (2017-2025),6,4517,2.2138587558113794,37.63559884879345,0.058823529411764705
stanford,early (2010-2016),101,105776,5.766903645439419,170.73816366661626,0.033776301218161685
stanford,late (2017-2025),35,42239,4.261464523307843,95.40945571628116,0.04466501240694789
ucdavis,early (2010-2016),116,74635,4.421518054532056,114.55751323105781,0.03859649122807018
ucdavis,late (2017-2025),6,3616,2.765486725663717,157.63274336283186,0.017543859649122806
ucsf,early (2010-2016),162,154138,11.67784712400576,148.24378154640647,0.07877461706783369
ucsf,late (2017-2025),422,360959,9.474760291335027,69.20453569518976,0.13690952762209768
